Unnamed: 0,Unternehmensname Latin alphabet,Inactive,Quoted,Branch,OwnData,Woco,ISO Ländercode,NACE Rev. 2 Core Code (4 Ziffern),Konsolidierungscode,Letztes verf. Jahr,Betriebsertrag (Umsatz) tsd EUR Letztes verf. Jahr,Anzahl der Mitarbeiter Letztes verf. Jahr,EBITDA tsd EUR Letztes verf. Jahr,AI_FDE_Match,Screening_Reasoning
17.0,DAMOVO DEUTSCHLAND GMBH & CO. KG,Nein,Nein,Nein,Nein,Nein,DE,6209,U1,2024,92430.88414,273,7102.69167,False,"Damovo is primarily a managed service provider focusing on traditional enterprise communication, unified communications, and network infrastructure rather than AI engineering. Their service portfolio is heavily anchored in legacy infrastructure, telephony, and connectivity solutions. They lack the specific focus on custom AI pipelines, RAG systems, or modern data science engineering required to meet the FDE investment thesis."
18.0,MOBILE VIKINGS,Nein,Nein,Nein,Nein,Nein,BE,6120,U1,2024,92391.115,93,7025.032,False,"Mobile Vikings is a prominent Belgian Mobile Virtual Network Operator (MVNO) focused on providing consumer mobile subscriptions and home internet services (NACE 6120). It does not offer B2B IT consulting, custom software development, or enterprise AI pipeline deployments. Because its core business is consumer telecommunications, it does not align with our AI Forward Deployed Engineering thesis and is excluded."
19.0,MARKANT SERVICES INTERNATIONAL GMBH,Nein,Nein,Nein,Nein,Nein,DE,6209,U2,2024,91611.37946,458,7277.04268,False,"MARKANT SERVICES INTERNATIONAL GMBH is a specialized service provider for the European retail and consumer goods industry, focusing on central settlement, master data management, and EDI services. It does not operate as a custom software engineering firm or IT consultancy that designs and deploys custom IT/AI solutions for third-party clients. Because its business model is centered on industry-specific transactional and data platforms rather than external IT services, it does not fit the FDE investment thesis."
20.0,CRONOS EUROPA,Nein,Nein,Nein,Nein,Nein,BE,6202,U1,2024,91475.523,320,4646.514,True,"Cronos Europa is a key entity within the prominent Belgian Cronos Group, which excels in custom software engineering, cloud architecture, and IT consultancy (NACE 6202). The parent group has a proven track record of deploying advanced technologies and has incubated specialized AI and data science ventures like Brainjar. With their deep pool of high-quality engineering talent and extensive experience delivering complex enterprise solutions, they represent an ideal 'High Potential' target capable of scaling custom AI pipelines and forward-deployed engineering services."
21.0,CRONOS EUROPA LUXEMBOURG SA,Nein,Nein,Nein,Nein,Nein,LU,6202,U1,2024,91032.378,n.v.,1768.925,True,"CRONOS EUROPA LUXEMBOURG SA is a highly capable IT consultancy and custom software integration firm operating within the prestigious Cronos Group ecosystem. They possess the deep technical expertise, cloud architecture capabilities, and enterprise footprint required to design and deploy custom AI pipelines and RAG systems. As a premium European systems integrator with dedicated data and AI capabilities, they represent a strong 'High Potential' fit for the Forward Deployed Engineering thesis rather than a low-value reseller or staffing agency."
22.0,HITACHI VANTARA AUSTRIA GMBH,Nein,Nein,Nein,Nein,Nein,AT,6209,U1,2024,87214.35503,58,9466.66329,False,"Hitachi Vantara Austria GmbH is a local subsidiary of the global enterprise Hitachi Vantara, which primarily focuses on industrial data storage, hybrid cloud infrastructure, and data management solutions. It does not operate as an independent custom software development or AI consulting boutique, but rather as an enterprise infrastructure and hardware provider. Consequently, it is not an eligible standalone investment target for a Private Equity AI FDE thesis."
23.0,BAVARIA FICTION GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,90120.89287,430,6006.81998,False,"Despite being classified under NACE Code 6201 (Computer programming activities), Bavaria Fiction GmbH is actually one of Europe's largest television and film production companies, known for content like 'Das Boot' and 'Tatort'. They do not provide custom software development, cloud architecture, or AI deployment services. Because their actual business is media production rather than enterprise technology, they are excluded from the AI Forward Deployed Engineering thesis."
24.0,MAXON COMPUTER GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,90016.788,176,5534.008,False,"Maxon Computer GmbH is a well-established product-led software company specializing in professional 3D modeling, animation, and rendering software (such as Cinema 4D and ZBrush) rather than an IT services or custom software engineering consultancy. They do not provide bespoke enterprise AI pipeline development, proprietary RAG systems, or custom integration services. As a creative product vendor, they do not align with the Forward Deployed Engineering (FDE) thesis, which targets specialized IT service providers and system integrators."
25.0,S&N GROUP AG,Nein,Nein,Nein,Nein,Nein,DE,6202,C2,2024,89695.00003,491,7774.53228,True,"S&N Group AG is an established IT consulting and software engineering firm specializing in complex banking and financial systems architecture. Their core competencies in digital transformation, cloud integration, and sophisticated data processing provide a strong technical foundation to support high-end AI deployment and RAG system integration. They possess the enterprise-grade engineering talent necessary to pivot toward custom AI pipeline development, making them a strong fit for our FDE investment thesis."
26.0,OPERATOR GROEP DELFT B.V.,Nein,Nein,Nein,Nein,Nein,NL,6202,U1,2024,89182.537,969,3222.987,False,"Operator Groep Delft B.V. operates primarily as a niche holding entity for engineering consultancy and project management services rather than an AI-focused technical consultancy. Their historical footprint in mechanical engineering and industrial design does not align with the core requirement of delivering specialized AI pipelines, RAG systems, or LLM-based agent workflows. The firm lacks evidence of the technical infrastructure or software engineering specialization required to be considered a viable 'AI Forward Deployed Engineering' prospect."
27.0,IO BELGIUM,Nein,Nein,Nein,Nein,Nein,BE,6201,U1,2024,87576.415,353,12042.642,True,IO Belgium operates as a high-end software engineering and digital transformation consultancy with a strong track record in complex system architecture. Their technical focus on custom software development and scalable cloud infrastructure provides a robust foundation for pivoting into AI-integrated workflows. They possess the required engineering sophistication to deploy the custom pipelines and enterprise-grade AI solutions central to our Forward Deployed Engineering thesis.
28.0,ROBOTRON DATENBANK-SOFTWARE GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,C2,2024,83554.98327,574,8959.86865,True,"Robotron Datenbank-Software is a sophisticated German enterprise software firm specializing in complex data management, analytics, and industrial AI solutions for the energy and utility sectors. Their deep expertise in processing large-scale, mission-critical datasets combined with their existing focus on AI-driven predictive maintenance and smart grid optimization makes them a strong candidate for an AI FDE strategy. Their engineering talent is highly technical and already deeply integrated into the operational infrastructure of their enterprise clients, providing a perfect foundation for scaling complex RAG and multi-agent AI deployments."
29.0,FINANZ INFORMATIK SOLUTIONS PLUS GMBH & CO. KG,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2022,84761.78977,492,7664.39996,False,"Finanz Informatik Solutions Plus is primarily a captive IT service provider and subsidiary of the Sparkassen-Finanzgruppe, focusing on legacy core banking systems, IT infrastructure, and regulatory compliance software for the German public banking sector. While they possess significant engineering resources, their business model is deeply entrenched in monolithic, highly regulated, and proprietary core banking architectures rather than agile, high-velocity AI deployment. Their portfolio lacks evidence of the modern data-stack capability, LLM orchestration, or custom RAG development required to pivot into a specialized AI Forward Deployed Engineering firm."
30.0,AUDATEX AUTOONLINE GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,83155.4359,72,11587.24093,False,"Audatex AutoOnline GmbH is a specialized vertical SaaS and data provider primarily focused on the automotive claims and insurance industry rather than a generalist or specialized AI forward-deployed engineering consultancy. Their core business revolves around providing established proprietary software platforms for vehicle valuation and damage assessment workflow automation. As a mature product-led organization, they do not align with the investment thesis of a high-growth AI services firm focused on bespoke pipeline deployment and external AI architecture consulting."
31.0,GWS GESELLSCHAFT FUER WARENWIRTSCHAFTS-SYSTEME MIT BESCHRAENKTER HAFTUNG,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,86407.3183,610,3310.70009,False,"GWS is a specialized ERP provider primarily focused on Microsoft Dynamics 365 solutions for the wholesale and trade sectors. Their business model is deeply rooted in legacy ERP implementation, maintenance, and industry-specific vertical integration rather than cutting-edge AI engineering. While they offer standard digitalization services, they lack the specialized technical depth in custom AI pipelines or proprietary RAG deployments required for our FDE investment thesis."
32.0,ABLETON AG,Nein,Nein,Nein,Nein,Nein,DE,6201,C2,2024,86082.37029,478,12253.04487,False,"Ableton AG is a specialized software developer focused exclusively on digital audio workstation (DAW) music production tools, specifically Ableton Live and Push. Their core business model is centered on proprietary consumer-facing software for the creative arts industry, not enterprise AI deployment or FDE services. They do not operate as an IT consultancy, systems integrator, or AI pipeline engineer, placing them outside our investment thesis."
33.0,RIB SOFTWARE SE,Nein,Nein,Nein,Nein,Nein,DE,6209,C2,2024,86029.0,194,1050.0,False,"RIB Software is a vertical SaaS player focused on the construction industry (iTWO platform), functioning as an established software product company rather than an AI-focused engineering consultancy. While they integrate AI features into their proprietary construction management suite, they do not provide the custom AI pipeline deployment or external enterprise RAG services mandated by our FDE thesis. They are a mature product vendor rather than a specialized provider of AI architectural deployment services."
34.0,PAUWELS CONSULTING,Nein,Nein,Nein,Nein,Nein,BE,6202,U1,2024,85398.684,445,6969.402,True,"Pauwels Consulting is a well-established European engineering and IT consultancy with deep expertise in software development, cloud infrastructure, and data engineering. Their existing service portfolio provides a robust foundation for pivoting into AI Forward Deployed Engineering, particularly given their capacity to manage complex technical integrations. While they operate as a broad consultancy, their high-end engineering talent pool and focus on critical enterprise projects make them a viable candidate for scaling custom AI, RAG, and agentic workflows."
35.0,VCONSYST B.V.,Nein,Nein,Nein,Nein,Nein,NL,6202,C2,2024,85232.402,31,5563.189,False,VCONSYST B.V. operates primarily as an IT consultancy focused on project management and traditional software development within the public sector and governmental landscape. Their service portfolio is heavily centered on classic business process optimization and organizational change rather than specialized machine learning or advanced AI engineering. They lack the demonstrated technical footprint in proprietary RAG architectures or multi-agent system deployment required for the FDE investment thesis.
36.0,AXA GROUP OPERATIONS GERMANY GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,85085.96259,137,8568.79915,False,"AXA Group Operations Germany GmbH is the internal IT service and operations subsidiary of the insurance giant AXA. Its primary mandate is to maintain, manage, and modernize the specific IT infrastructure and core systems of its parent company rather than operating as an independent vendor providing external FDE services. As a captive entity, it does not meet the investment criteria for an scalable, external-facing AI engineering firm."
37.0,AEB SE,Nein,Nein,Nein,Nein,Nein,DE,6209,U2,2024,84291.44415,581,9620.16561,False,"AEB SE is a specialized provider of supply chain and global trade management software (SaaS), focusing on compliance, logistics, and customs automation rather than custom AI deployment or general engineering services. Their business model is centered on proprietary enterprise software applications rather than the iterative, project-based deployment of custom AI pipelines or RAG systems. While they integrate intelligent automation for trade documents, they do not align with the 'Forward Deployed Engineering' thesis of providing external technical consultancy or custom AI architecture services."
38.0,COLLABORATION BETTERS THE WORLD,Nein,Nein,Nein,Nein,Nein,BE,6209,U1,2024,84065.851,441,4078.572,False,"COLLABORATION BETTERS THE WORLD (CBTW) is a holding company that serves as an ecosystem for diverse specialized technology service providers. While some entities within their portfolio may handle digital transformation, the parent entity primarily focuses on corporate structure, strategic acquisitions, and talent retention across varied IT niches rather than direct AI Forward Deployed Engineering. The company does not demonstrate the specialized, hands-on technical focus on RAG, fine-tuning, or multi-agent pipeline engineering required by the thesis."
39.0,UNISYSTEMS LUXEMBOURG S.A R.L.,Nein,Nein,Nein,Nein,Nein,LU,6202,U1,2024,82326.325,n.v.,10763.072,True,"UNISYSTEMS LUXEMBOURG S.A R.L., as part of the Unisystems group, explicitly offers 'Artificial Intelligence & Machine Learning' services. Their capabilities include the design, implementation, and support of robust AI-driven solutions, predictive analytics, natural language processing (NLP), and machine learning models. This directly aligns with our 'High Potential' criterion for IT service providers with strong engineering talent and strong indications of 'Direct Match' for custom AI deployment."
40.0,CADFEM GERMANY GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,81542.30265,188,3477.17349,True,"CADFEM is a highly specialized engineering partner for Ansys simulation software, possessing deep technical domain expertise in physics-based modeling and digital twins. They have actively integrated AI and machine learning into their simulation workflows to optimize product development cycles for complex B2B industrial clients. Their engineering-heavy DNA and ability to deploy advanced computational models position them as a strong candidate for an AI FDE pivot, moving from traditional simulation to predictive AI-driven engineering pipelines."
41.0,INFOMOTION GMBH,Nein,Nein,Nein,Nein,Nein,DE,6202,U2,2024,80056.19443,573,2858.12943,True,"Infomotion GmbH is a specialized data and analytics consultancy with deep expertise in BI, data architecture, and modern cloud ecosystems. Their strong foundation in data engineering and advanced analytics makes them an ideal candidate to pivot into AI Forward Deployed Engineering, specifically for RAG and custom AI workflow integration. Their existing focus on enterprise-grade data management aligns perfectly with the requirement for robust backend infrastructure needed to support high-value AI implementations."
42.0,AIRITSYSTEMS GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,Nein,Nein,Nein,Nein,Ja,DE,6209,U1,2024,81077.63822,250,6242.13998,False,"AIRITSYSTEMS GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG is primarily focused on IT infrastructure services, system administration, and technical support rather than high-value AI software engineering. Their core business model lacks the specialized RAG development, machine learning pipeline, or data science capabilities required for our FDE investment thesis. Given their broad focus on general IT support and maintenance, they do not demonstrate the technical depth or specialized AI focus necessary for a pivot into advanced enterprise AI deployment."
43.0,KLA-TENCOR GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,78461.086,181,13954.456,False,"KLA-Tencor GmbH is the German subsidiary of KLA Corporation, a global capital equipment manufacturer specializing in process control and yield management systems for the semiconductor industry. Their core operations are focused on complex hardware and specialized metrology software for silicon wafer inspection, not custom AI deployment or general-purpose B2B software engineering services. Consequently, they do not align with the AI Forward Deployed Engineering investment thesis, as they are a hardware-centric industrial manufacturing firm."
44.0,PARCIT GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,79794.04582,466,5734.5873,True,"PARCIT GMBH operates as a specialized software engineering firm focusing on high-complexity digital transformation and cloud-native architecture, which aligns with NACE 6201 requirements. Their technical profile demonstrates the core engineering rigor necessary for complex system integration, providing a strong foundation for scaling AI-driven pipelines and RAG implementations. They represent a high-potential pivot candidate for the AI Forward Deployed Engineering thesis due to their existing focus on bespoke, high-value enterprise software solutions."
45.0,YOUFORCE B.V.,Nein,Nein,Nein,Nein,Nein,NL,6201,U2,2024,79366.696,285,9902.019,False,"YOUFORCE B.V. is a specialized provider of HR software and payroll solutions rather than an engineering consultancy or AI systems integrator. Their business model is centered on a proprietary SaaS HRIS platform, which does not align with the 'Forward Deployed Engineering' thesis of building custom AI pipelines for diverse enterprise clients. While they may utilize AI within their product, they do not function as an AI deployment partner or architecture firm."
46.0,SNAP CAMERA GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,78261.0,30,5354.0,False,"Snap Camera GmbH is primarily associated with consumer-facing software applications and digital photography utilities, rather than enterprise AI infrastructure or forward-deployed engineering services. Their business model lacks the B2B focus on custom AI pipelines, RAG systems, or agentic workflow integration required by our investment thesis. Consequently, the firm does not demonstrate the necessary technical alignment or service orientation to be considered a viable prospect for our FDE strategy."
47.0,BMW CAR IT GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,78170.51913,287,1082.30175,False,"BMW Car IT GmbH is a wholly-owned subsidiary functioning as the internal software development arm of the BMW Group, specifically focused on automotive operating systems and connected vehicle software. As a captive entity, they are not a B2B AI consultancy or external service provider capable of scaling AI deployments for third-party enterprise clients. Their mandate is restricted to BMW's proprietary internal automotive technology stack rather than providing commercial AI Forward Deployed Engineering services."
48.0,SIMAC,Nein,Nein,Nein,Nein,Nein,BE,4222,U1,2024,78117.786,171,1873.962,False,"Simac is a large-scale system integrator and infrastructure provider focused on telecommunications, energy, and facility infrastructure (NACE 4222), rather than software engineering or AI deployment. While they provide broader IT managed services, their core business centers on physical network cabling, energy infrastructure, and hardware integration. They lack the specialized software engineering DNA and RAG/LLM-native technical focus required to qualify for our AI Forward Deployed Engineering investment thesis."
49.0,SWORD TECHNOLOGIES S.A.,Nein,Nein,Nein,Nein,Nein,LU,6201,U1,2024,78014.008,n.v.,3825.935,True,"SWORD Technologies is a large-scale, established digital transformation consultancy with significant engineering depth in complex enterprise architectures, including cloud-native solutions and data integration. While they are a broad IT services provider, their existing focus on government and large enterprise data infrastructure creates a strong technical foundation for scaling AI-driven initiatives and RAG deployments. Their proven track record in sophisticated software engineering qualifies them as a high-potential firm capable of pivoting to specialized AI Forward Deployed Engineering."
50.0,SCALIAN GERMANY AKTIENGESELLSCHAFT,Nein,Nein,Nein,Nein,Nein,DE,6202,U1,2024,77399.39895,698,9237.38141,True,"Scalian Germany AG is a highly specialized engineering and digital services consultancy with a strong footprint in complex systems, data science, and AI integration for high-stakes industries like aerospace and automotive. Their core competency in systems engineering and data analytics provides the necessary technical foundation to scale advanced AI solutions, including RAG and custom model deployment. Given their focus on digital transformation and deep technical consulting, they represent a strong candidate for an FDE-focused investment strategy."
51.0,MSG FOR AUTOMOTIVE GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,77260.06697,470,3011.92122,True,"MSG FOR AUTOMOTIVE GMBH is a specialized technology subsidiary within the well-established msg group, focusing on digital transformation in the automotive sector. Given their deep domain expertise in vehicle software, connectivity, and complex industrial system integration, they represent a high-potential pivot candidate for AI-driven FDE. They possess the engineering talent and enterprise client base necessary to deploy proprietary RAG systems and multi-agent workflows for automotive manufacturing and supply chain optimization."
52.0,DSA DATEN- UND SYSTEMTECHNIK GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,77061.65803,293,6115.86777,False,"DSA Daten- und Systemtechnik GmbH focuses primarily on vehicle communication, diagnostic hardware, and embedded systems for the automotive industry rather than enterprise AI deployment. Their technical expertise is heavily specialized in onboard and offboard vehicle diagnostics, communication protocols, and complex hardware-software integration for OEMs. They lack the core focus on generative AI, RAG architectures, and multi-agent workflows required by our FDE investment thesis."
53.0,KUMAVISION AG,Nein,Nein,Nein,Nein,Nein,DE,6201,U2,2023,72384.93852,418,4141.50677,False,"KUMAVISION AG is a specialized IT consultancy focused primarily on ERP implementation (Microsoft Dynamics 365) and industry-specific business process optimization for manufacturing and healthcare. Their business model is deeply rooted in enterprise resource planning and standard business software integration rather than high-end custom AI engineering or machine learning infrastructure. Consequently, they do not align with our specific 'Forward Deployed Engineering' thesis, which prioritizes companies building proprietary AI pipelines and complex agentic workflows."
54.0,ENDAVA GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,74694.10567,165,5766.14659,True,"Endava is a high-end global software engineering services provider that aligns well with the FDE thesis due to its extensive experience in cloud architecture, data engineering, and digital product development. They have already established formal AI practice areas focusing on generative AI, machine learning operations, and enterprise-grade data architecture. Their strong engineering culture and existing relationships with global enterprise clients position them as a high-potential firm for scaling complex, custom AI deployment workflows."
55.0,TECHNO1,Nein,Nein,Nein,Nein,Nein,BE,4740,U1,2024,76123.492,n.v.,3001.223,False,"TECHNO1's NACE code (4740) indicates a primary business in the retail sale of computers, peripheral units, and software in specialized stores. This business model does not align with the 'AI Forward Deployed Engineering' thesis, which requires custom AI pipeline design, RAG systems, or multi-agent workflows. It also does not fit the profile of a high-quality custom software development firm or cloud architecture consultancy capable of pivoting to AI scaling. Consequently, TECHNO1 falls outside our qualification criteria and is likely closer to an excluded 'low-value SaaS reseller shop' or 'pure hardware distributor'."
56.0,DATAGROUP BUSINESS SOLUTIONS GMBH,Nein,Nein,Nein,Nein,Nein,DE,6202,U1,2024,69977.884669,197,6854.1712,True,"DATAGROUP is a large-scale German IT service provider that focuses on complex managed services, cloud transformation, and enterprise digitization. While they act as a broad system integrator, their deep technical infrastructure capabilities and extensive portfolio of enterprise clients provide a strong foundation for scaling AI-driven operational workflows and RAG deployments. Their focus on secure, sovereign cloud environments aligns well with the enterprise requirement for reliable, deployed AI engineering, offering a high-potential vector for transitioning into a specialized AI FDE provider."
57.0,SINC GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,C2,2023,70837.214209,294,7470.99668,True,"SINC GmbH is a well-established German IT consultancy specializing in complex software architecture, cloud-native development, and digital transformation. Their deep technical expertise in high-end backend engineering and systems integration provides a strong foundation for scaling AI-driven pipelines and enterprise-grade RAG systems. Given their focus on custom technical solutions rather than commodity IT services, they represent a high-potential candidate for pivoting into an AI Forward Deployed Engineering model."
